0.4959 0.5123 0.2081 0.8248
0.5845 0.7188 0.0030 0.1572
0.3388 0.6682 0.2133 0.6514
0.5171 0.5951 0.1213 0.6998
0.5450 0.5366 0.1854 0.8258
0.6550 0.5557 0.1428 0.8489
0.2373 0.6760 0.2175 0.5661
0.4827 0.3938 0.4052 0.9356
0.4028 0.3012 0.4806 0.9058
0.4723 0.5522 0.1570 0.7624
0.3164 0.6694 0.2196 0.6629
0.3632 0.6466 0.1305 0.5305
0.5083 0.6371 0.0777 0.4979
0.6096 0.6673 0.0153 0.3602
0.3517 0.5125 0.2579 0.8247
0.4297 0.6094 0.2085 0.6299
0.1830 0.0387 0.9478 0.4537
0.0466 0.8828 0.2287 0.0826
0.3523 0.1757 0.6303 0.7154
0.4089 0.2508 0.5677 0.8808
0.4576 0.2798 0.4657 0.8637
0.0216 0.8558 0.2250 0.4018
0.3405 0.2610 0.5526 0.8543
0.2025 0.3128 0.6990 0.7404
0.4771 0.2396 0.5074 0.8189
0.3591 0.1683 0.6255 0.7005
0.3334 0.4609 0.2865 0.7988
0.6687 0.6613 0.0548 0.6064
0.3597 0.6607 0.1977 0.6547
0.4857 0.3995 0.3917 0.9029
0.2206 0.6529 0.2071 0.3852
0.6389 0.5619 0.1268 0.8229
0.4338 0.4430 0.3487 0.8440
0.4200 0.2763 0.4757 0.8712
0.3839 0.1619 0.6448 0.7689
0.2127 0.0269 0.9649 0.4960
0.5448 0.6438 0.0799 0.4916
0.5731 0.6569 0.0387 0.3930
0.5563 0.5495 0.1985 0.7856
0.3277 0.5390 0.3328 0.8043
0.5177 0.4542 0.3197 0.9088
0.2011 0.7097 0.1998 0.2235
0.0350 0.7794 0.2645 0.0129
0.3845 0.5596 0.2154 0.7105
0.5514 0.5944 0.0863 0.7190
0.4302 0.3370 0.5068 0.8169
0.4971 0.5128 0.2286 0.8600
0.4612 0.6277 0.1746 0.6221
0.4200 0.2703 0.4754 0.7711
0.3597 0.6007 0.2076 0.6109
0.2358 0.0339 0.7903 0.4439
0.4027 0.2819 0.4904 0.7966
0.5781 0.3906 0.3012 0.8944
0.5367 0.6567 0.0379 0.3318
0.3449 0.5131 0.2918 0.9052
0.5004 0.6103 0.0993 0.6756
0.5669 0.5729 0.1652 0.7249
0.3955 0.1942 0.5585 0.7140
0.1949 0.8010 0.2143 0.0904
0.5771 0.6693 0.0202 0.3388
0.6297 0.6692 0.0197 0.3730
0.3763 0.2526 0.5128 0.7476
0.2600 0.6731 0.2123 0.3835
0.4521 0.2471 0.4868 0.8197
0.3636 0.5180 0.3489 0.8317
0.3154 0.0664 0.7410 0.5008
0.3990 0.2653 0.5153 0.8738
0.5359 0.5270 0.2193 0.7829
0.4276 0.4843 0.3293 0.8223
0.5094 0.6427 0.0810 0.4571
0.3592 0.6417 0.1846 0.5049
0.4395 0.6285 0.1232 0.5895
0.3658 0.2554 0.5505 0.8446
0.3539 0.4920 0.3576 0.8598
0.4045 0.2936 0.4535 0.8122
0.3364 0.2621 0.4955 0.7185
0.3640 0.1685 0.6315 0.6943
0.6048 0.6494 0.0339 0.4047
0.5132 0.6156 0.1006 0.7145
0.3484 0.6265 0.2008 0.4904
0.3614 0.2468 0.5706 0.8761
0.2093 0.2239 0.7377 0.5883
0.4060 0.6471 0.1294 0.5577
0.4020 0.6255 0.1186 0.5540
0.5927 0.3788 0.2972 0.9428
0.2297 0.0368 0.9006 0.6844
0.3091 0.6106 0.2504 0.7410
0.4150 0.2715 0.4777 0.8143
0.3686 0.4412 0.3016 0.8281
0.3143 0.1402 0.5902 0.5784
0.4633 0.5968 0.1279 0.6600
0.5449 0.6632 0.0365 0.3355
0.1500 0.3252 0.6769 0.6935
0.5048 0.5159 0.2303 0.7730
0.2978 0.2523 0.7184 0.7735
0.4300 0.4695 0.3270 0.7798
0.4834 0.5028 0.2125 0.8305
0.3622 0.4893 0.3448 0.7866
0.4642 0.5232 0.2173 0.8143
0.4664 0.4456 0.2193 0.7888
0.0000 0.8738 0.2349 0.3186
0.0227 0.7865 0.2569 0.0074
0.3386 0.5178 0.2828 0.8883
0.2645 0.2042 0.7616 0.6511
0.5141 0.6422 0.0736 0.4564
0.3081 0.2708 0.6004 0.9678
0.3742 0.2605 0.4689 0.7339
0.3019 0.5016 0.3306 0.8613
0.4782 0.6178 0.0965 0.6531
0.3059 0.4963 0.3443 0.8696
0.4714 0.6404 0.0980 0.4820
0.2200 0.7916 0.2241 0.1270
0.4198 0.2849 0.4583 0.8432
0.4294 0.4492 0.3361 0.8432
0.2402 0.7073 0.1880 0.2635
0.1638 0.7890 0.2203 0.0717
0.3301 0.5836 0.2637 0.7727
0.3400 0.4855 0.3443 0.7650
0.3234 0.3053 0.4842 0.8289
0.5444 0.5965 0.0827 0.7154
0.3568 0.3386 0.5141 0.7759
0.2400 0.0351 0.7789 0.4620
0.4091 0.5104 0.2891 0.7846
0.6384 0.5307 0.1468 0.9174
0.2344 0.6744 0.2123 0.3844
0.4232 0.1231 0.6550 0.7307
0.3959 0.1775 0.6258 0.7714
0.4386 0.4305 0.4247 0.8307
0.6455 0.5471 0.1404 0.8869
0.3796 0.6672 0.1935 0.6581
0.1185 0.8317 0.2397 0.2684
0.4259 0.6030 0.2074 0.6118
0.2831 0.5207 0.3553 0.7361
0.4609 0.2694 0.4786 0.8378
0.5531 0.5020 0.2103 0.9047
0.3420 0.6396 0.1919 0.4721
0.3357 0.5286 0.3051 0.8813
0.4589 0.5145 0.1887 0.7823
0.2639 0.0485 0.8691 0.7340
0.3729 0.5154 0.2846 0.7607
0.3768 0.5034 0.3011 0.9600
0.4456 0.4743 0.3252 0.8609
0.5362 0.3700 0.3051 0.8757
0.3407 0.4572 0.2924 0.8155
0.1949 0.0281 0.9636 0.4723
0.3744 0.5196 0.3117 0.9201
0.0575 0.7742 0.2504 0.0664
0.3398 0.3074 0.4906 0.8486
0.2544 0.0036 0.9850 0.5148
0.4261 0.6465 0.1428 0.4310
0.3972 0.6260 0.1966 0.5418
0.5538 0.3507 0.3190 0.9295
0.1257 0.8673 0.2097 0.1779
0.5997 0.5637 0.1213 0.7756
0.3556 0.5052 0.3006 0.7381
0.4926 0.5754 0.1663 0.6672
0.6130 0.5559 0.1265 0.8256
0.2863 0.5900 0.2355 0.5378
0.5747 0.5399 0.1424 0.8409
0.4296 0.6475 0.1677 0.5784
0.1929 0.3016 0.6967 0.7281
0.3197 0.2706 0.6794 0.7390
0.4979 0.5889 0.1309 0.7125
0.5922 0.7056 0.0210 0.2037
0.3952 0.5335 0.2610 0.9269
0.4737 0.6498 0.0697 0.4293
0.2764 0.7058 0.1946 0.2852
0.4815 0.3534 0.3235 0.8329
0.2857 0.6747 0.2082 0.5960
0.5822 0.6716 0.0221 0.3242
0.1515 0.3019 0.7121 0.7422
0.4170 0.4380 0.4112 0.8106
0.2633 0.0319 0.7954 0.5199
0.1528 0.8060 0.2219 0.0161
0.4245 0.4623 0.3326 0.8329
0.3140 0.6753 0.2080 0.3704
0.4319 0.5287 0.2667 0.9434
0.1425 0.8264 0.2296 0.3229
0.5786 0.5100 0.2356 0.8276
0.2779 0.2106 0.6728 0.8823
0.4385 0.6027 0.2072 0.6394
0.3831 0.2672 0.6161 0.7922
0.1873 0.6525 0.2565 0.6853
